prob_threshold,pixel_threshold,TP,FP,FN,TN,sensitivity,PPV,specificity,F1
0.7,100,55,103,0,41,1.0,0.3481,0.2847,0.5164
0.7,200,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.7,300,55,95,0,49,1.0,0.3667,0.3403,0.5366
0.7,400,55,91,0,53,1.0,0.3767,0.3681,0.5473
0.7,500,55,84,0,60,1.0,0.3957,0.4167,0.567
0.7,600,55,82,0,62,1.0,0.4015,0.4306,0.5729
0.7,700,55,77,0,67,1.0,0.4167,0.4653,0.5882
0.7,800,55,72,0,72,1.0,0.4331,0.5,0.6044
0.7,900,55,64,0,80,1.0,0.4622,0.5556,0.6322
0.7,1000,55,58,0,86,1.0,0.4867,0.5972,0.6548
0.7,1100,54,56,1,88,0.9818,0.4909,0.6111,0.6545
0.7,1200,53,50,2,94,0.9636,0.5146,0.6528,0.6709
0.7,1300,53,45,2,99,0.9636,0.5408,0.6875,0.6928
0.7,1400,53,35,2,109,0.9636,0.6023,0.7569,0.7413
0.7,1500,51,31,4,113,0.9273,0.622,0.7847,0.7445
0.7,1600,51,27,4,117,0.9273,0.6538,0.8125,0.7669
0.7,1700,47,24,8,120,0.8545,0.662,0.8333,0.746
0.7,1800,46,21,9,123,0.8364,0.6866,0.8542,0.7541
0.7,1900,45,20,10,124,0.8182,0.6923,0.8611,0.75
0.7,2000,44,18,11,126,0.8,0.7097,0.875,0.7521
0.7,2100,44,17,11,127,0.8,0.7213,0.8819,0.7586
0.7,2200,43,14,12,130,0.7818,0.7544,0.9028,0.7679
0.7,2300,43,11,12,133,0.7818,0.7963,0.9236,0.789
0.7,2400,43,9,12,135,0.7818,0.8269,0.9375,0.8037
0.7,2500,41,9,14,135,0.7455,0.82,0.9375,0.781
0.7,2600,39,8,16,136,0.7091,0.8298,0.9444,0.7647
0.7,2700,38,8,17,136,0.6909,0.8261,0.9444,0.7525
0.7,2800,38,7,17,137,0.6909,0.8444,0.9514,0.76
0.7,2900,36,6,19,138,0.6545,0.8571,0.9583,0.7423
0.7,3000,35,6,20,138,0.6364,0.8537,0.9583,0.7292
0.7,3100,35,5,20,139,0.6364,0.875,0.9653,0.7368
0.7,3200,32,5,23,139,0.5818,0.8649,0.9653,0.6957
0.7,3300,29,4,26,140,0.5273,0.8788,0.9722,0.6591
0.7,3400,25,4,30,140,0.4545,0.8621,0.9722,0.5952
0.7,3500,23,3,32,141,0.4182,0.8846,0.9792,0.5679
0.7,3600,21,2,34,142,0.3818,0.913,0.9861,0.5385
0.7,3700,21,2,34,142,0.3818,0.913,0.9861,0.5385
0.7,3800,20,2,35,142,0.3636,0.9091,0.9861,0.5195
0.7,3900,20,2,35,142,0.3636,0.9091,0.9861,0.5195
0.7,4000,18,2,37,142,0.3273,0.9,0.9861,0.48
0.7,4100,16,2,39,142,0.2909,0.8889,0.9861,0.4384
0.7,4200,15,2,40,142,0.2727,0.8824,0.9861,0.4167
0.7,4300,14,2,41,142,0.2545,0.875,0.9861,0.3944
